run_id,level,planner,seed,lap_time,gates_passed,success,collisions,n_replans,mean_solve_ms,max_solve_ms,mean_contour_err,min_clearance
pmm_lvl2_seed-1_run18,2,pmm,-1,4.62,4,1,0,0,26.507311706656512,33.31395299755968,0.10036943389948215,nan
pmm_lvl2_seed-1_run19,2,pmm,-1,4.64,4,1,0,0,27.557942605089764,41.049271007068455,0.11195477176195558,nan
pmm_lvl3_seed-1_run0,3,pmm,-1,10.66,4,1,0,0,26.616511992512407,42.018571999506094,0.1272572312416783,nan
pmm_lvl3_seed-1_run1,3,pmm,-1,6.48,4,1,0,0,27.170959895145362,35.1822689990513,0.12327761328878908,nan
pmm_lvl3_seed-1_run2,3,pmm,-1,6.22,4,1,0,0,27.32859741641173,48.48474399477709,0.0903124341068265,nan
pmm_lvl3_seed-1_run3,3,pmm,-1,4.64,2,0,0,0,28.356392823582887,48.0960629938636,0.08126483227941475,nan
pmm_lvl3_seed-1_run4,3,pmm,-1,6.2,4,1,0,0,27.874382055213697,52.07726299704518,0.1049567209837972,nan
pmm_lvl3_seed-1_run5,3,pmm,-1,7.3,4,1,0,0,25.723195357739293,43.047546001616865,0.12594396872858737,nan
pmm_lvl3_seed-1_run6,3,pmm,-1,5.08,4,1,0,0,26.02993018791655,41.55416499997955,0.07490917513661946,nan
pmm_lvl3_seed-1_run7,3,pmm,-1,5.34,3,0,0,0,26.306165216004985,50.512644011178054,0.12957020493881513,nan
pmm_lvl3_seed-1_run8,3,pmm,-1,4.42,3,0,0,0,26.938049328253346,57.349005990545265,0.22421159178097308,nan
pmm_lvl3_seed-1_run9,3,pmm,-1,4.9,4,1,0,0,27.103634231321124,50.919823988806456,0.08108971032697786,nan
pmm_lvl3_seed-1_run10,3,pmm,-1,5.98,4,1,0,0,29.081150036945473,50.18642300274223,0.1250715762315751,nan
pmm_lvl3_seed-1_run11,3,pmm,-1,2.42,0,0,0,0,28.96768556605761,40.444640995701775,0.2215606608837982,nan
pmm_lvl3_seed-1_run12,3,pmm,-1,4.98,4,1,0,0,29.148781039286405,49.1868160024751,0.07471766119360737,nan
pmm_lvl3_seed-1_run13,3,pmm,-1,7.2,3,0,0,0,28.718000085598085,46.8900199921336,0.10905506699379487,nan
pmm_lvl3_seed-1_run14,3,pmm,-1,6.0,3,0,0,0,31.875749774139138,60.61115000920836,0.2997199622348699,nan
pmm_lvl3_seed-1_run15,3,pmm,-1,8.62,2,0,0,0,28.503251555809616,42.70537200500257,0.19047063543850687,nan
pmm_lvl3_seed-1_run16,3,pmm,-1,7.92,3,0,0,0,27.980943372693343,46.16786999395117,0.10982908310350722,nan
pmm_lvl3_seed-1_run17,3,pmm,-1,4.94,4,1,0,0,27.224955641412958,47.96226401231252,0.052691690829929624,nan
pmm_lvl3_seed-1_run18,3,pmm,-1,6.38,4,1,0,0,27.856756759001655,44.23367799608968,0.10444437748497437,nan
pmm_lvl3_seed-1_run19,3,pmm,-1,6.32,3,0,0,0,27.023713898998157,42.725581995910034,0.13143783596247355,nan
cubic_lvl2_seed-1_run0,2,cubic,-1,2.2,1,0,0,0,27.551830126138338,41.982484006439336,0.0970963935638588,nan
cubic_lvl2_seed-1_run1,2,cubic,-1,1.48,1,0,0,0,26.663261213495087,29.835674999048933,0.045290969828567264,nan
cubic_lvl2_seed-1_run0,2,cubic,-1,2.52,1,0,0,0,28.210093441312054,37.007937993621454,0.23210860423813354,nan
cubic_lvl2_seed-1_run1,2,cubic,-1,1.88,1,0,0,0,26.438874747959506,28.91406299022492,0.11027274401874046,nan
cubic_lvl2_seed-1_run2,2,cubic,-1,4.6,1,0,0,0,26.621098043707004,29.9563250009669,0.22331777531134045,nan
cubic_lvl2_seed-1_run3,2,cubic,-1,2.16,1,0,0,0,26.213195210577997,29.976589998113923,0.16267342274976979,nan
cubic_lvl2_seed-1_run0,2,cubic,-1,2.66,1,0,0,0,26.7074147906978,31.81880500051193,0.5725817965478287,nan
cubic_lvl2_seed-1_run1,2,cubic,-1,1.86,1,0,0,0,26.493272318398244,29.7543369961204,0.03709888176551973,nan
cubic_lvl2_seed-1_run2,2,cubic,-1,4.24,3,0,0,0,26.840944211638178,33.71233498910442,0.06328006824872766,nan
cubic_lvl2_seed-1_run3,2,cubic,-1,2.06,1,0,0,0,26.908577673076742,31.689694005763158,0.14759181976597696,nan
cubic_lvl2_seed-1_run4,2,cubic,-1,4.86,3,0,0,0,27.461878582262663,39.30698100884911,0.1551778368156485,nan
cubic_lvl2_seed-1_run5,2,cubic,-1,1.92,1,0,0,0,26.413490989013845,30.41195299010724,0.03655926921672539,nan
cubic_lvl2_seed-1_run6,2,cubic,-1,4.0,3,0,0,0,27.288167173881547,33.32639099971857,0.06310040923498536,nan
cubic_lvl2_seed-1_run7,2,cubic,-1,4.0,1,0,0,0,26.50064651239536,30.41630200459622,0.21517563824842656,nan
cubic_lvl2_seed-1_run0,2,cubic,-1,4.28,3,0,0,0,26.507240031753817,33.15419900172856,0.05626754416115166,nan
cubic_lvl2_seed-1_run1,2,cubic,-1,4.96,3,0,0,0,26.360368719205248,31.696594989625737,0.32828543829818796,nan
cubic_lvl2_seed-1_run2,2,cubic,-1,4.92,4,1,0,0,27.02193256625001,42.13776100368705,0.047782213031424735,nan
