Eval_ID,Q_c,Q_l,R_u,mu,R_T,Z_l,z_l,Mean_Reward,Min_Reward,Success_Rate,Mean_Time,TR_Length
50,570.0692849636077,349.1818056920667,1000.0,0.1,1.0,316227.7660168379,12717.34221848803,758.8776381640429,83.5305526561715,0.75,15.985,0.05
51,570.0692849636077,349.1818056920667,1000.0,0.1,1.0,316227.7660168379,12717.34221848803,91.8368955623515,75.7833404906621,0.0,17.145,0.05
52,570.0692849636077,349.1818056920667,1000.0,0.1,1.0,316227.7660168379,12717.34221848803,318.8775128367222,84.95304233956288,0.25,19.384999999999998,0.05
53,570.0692849636077,349.1818056920667,1000.0,0.1,1.0,316227.7660168379,12717.34221848803,336.33251103636746,119.60868700344994,0.25,19.91,0.025
54,595.0567849636077,374.16930569206664,1000.0,0.1,1.0,316227.7660168379,14475.92612585868,326.22055021025204,78.7330136349308,0.25,18.26,0.025
55,595.0567849636077,374.16930569206664,1000.0,0.1,1.0,316227.7660168379,14475.92612585868,326.27216210812315,81.44134113075904,0.25,18.1,0.025
56,595.0567849636077,374.16930569206664,1000.0,0.1,1.0,316227.7660168379,14475.92612585868,324.11827875338054,85.20387530219315,0.25,18.915,0.025
57,595.0567849636077,374.16930569206664,1000.0,0.1,1.0,316227.7660168379,14475.92612585868,763.1254146209322,107.12165848372905,0.75,18.55,0.025
58,595.0567849636077,374.16930569206664,1000.0,0.1,1.0,316227.7660168379,14475.92612585868,322.7872138106611,86.56531125249802,0.25,18.17,0.025
59,595.0567849636077,374.16930569206664,1000.0,0.1,1.0,316227.7660168379,14475.92612585868,106.23213684672594,82.19135160225713,0.0,18.67,0.025
60,595.0567849636077,374.16930569206664,1000.0,0.1,1.0,316227.7660168379,14475.92612585868,337.44963873104285,121.02705562614028,0.25,19.740000000000002,0.0125
61,607.5505349636078,386.6630556920667,1000.0,0.1,1.0,316227.7660168379,15444.411276290677,326.5688604597179,85.21857278854178,0.25,17.005000000000003,0.0125
62,607.5505349636078,386.6630556920667,1000.0,0.1,1.0,316227.7660168379,15444.411276290677,536.426937774506,84.64020329775124,0.5,18.595000000000002,0.0125
63,607.5505349636078,386.6630556920667,1000.0,0.1,1.0,316227.7660168379,15444.411276290677,533.5236156037635,81.72018485941878,0.5,15.085,0.0125
64,607.5505349636078,386.6630556920667,1000.0,0.1,1.0,316227.7660168379,15444.411276290677,532.3396216472175,83.88453346370551,0.5,18.11,0.0125
65,607.5505349636078,386.6630556920667,1000.0,0.1,1.0,316227.7660168379,15444.411276290677,549.9545646408328,119.7044669053407,0.5,18.115,0.0125
66,607.5505349636078,386.6630556920667,1000.0,0.1,1.0,316227.7660168379,15444.411276290677,94.10183825326334,83.96502374779185,0.0,18.175,0.0125
67,607.5505349636078,386.6630556920667,1000.0,0.1,1.0,316227.7660168379,15444.411276290677,547.3296269962759,101.56676487950891,0.5,19.224999999999998,0.00625
68,113.14621536433697,974.236609429121,320.7471596598625,9.865342968702317,320.3300764262676,206501.91863761577,1234.0537038296563,32.690277800341306,6.630087919735795,0.0,1.72,0.8
69,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6670.798289799617,762.9509313610963,96.02372544438508,0.75,14.035,0.8
70,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5436.34573157718,547.6385595540356,99.85367896221581,0.5,12.325,0.8
71,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5254.71671804338,307.19923196596216,30.477873646294164,0.25,10.805,0.8
72,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6349.863645904117,542.5266486298742,80.8949812758647,0.5,12.44,0.8
73,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6227.0260445024305,537.1965485166997,73.9568741385552,0.5,12.205,0.8
74,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6134.01306832262,309.5371811691042,45.08610031189457,0.25,10.045,0.8
