Eval_ID,Q_c,Q_l,R_u,mu,R_T,Z_l,z_l,Mean_Reward,Min_Reward,Success_Rate,Mean_Time,TR_Length
55,521.2106170777781,85.97966192299128,1000.0,1.8418017856665874,267.22968955651675,19349.85837916764,10.0,20.0,0.5724611876852409,37.4834279148171,40.26390425168169,24.912105888365637,0.0,3.615,0.1
56,491.26061707777814,175.8296619229913,984.0770555455937,1.106801785666587,297.17968955651673,4089.5713606762165,10.0,44.0,0.5229611876852408,22.633427914817105,31.17895166238043,24.261321468167587,0.0,3.7425,0.1
57,491.26061707777814,115.92966192299129,984.0770555455937,1.596801785666587,297.17968955651673,4089.5713606762165,10.0,44.0,0.4239611876852409,32.5334279148171,30.321399426768384,22.6482579277391,0.0,3.045,0.1
58,491.26061707777814,115.92966192299129,922.802640058509,1.596801785666587,297.17968955651673,11525.978119117788,14.962356560944336,20.0,0.5229611876852408,22.633427914817105,45.67178715828811,24.115792968737708,0.0,4.112500000000001,0.1
59,491.26061707777814,175.8296619229913,984.0770555455937,1.596801785666587,297.17968955651673,4089.5713606762165,10.0,44.0,0.5229611876852408,32.5334279148171,45.56613735388778,25.043920481552387,0.0,4.175,0.1
60,491.26061707777814,115.92966192299129,884.1770555455936,1.596801785666587,297.17968955651673,11525.978119117788,10.0,20.0,0.5229611876852408,22.633427914817105,155.6544307916043,22.722613904745415,0.125,3.79,0.1
61,491.26061707777814,115.92966192299129,884.1770555455936,1.596801785666587,297.17968955651673,11525.978119117788,10.0,20.0,0.5229611876852408,22.633427914817105,30.772634141118257,23.536208191813564,0.0,2.9625,0.1
62,491.26061707777814,115.92966192299129,884.1770555455936,1.596801785666587,297.17968955651673,11525.978119117788,10.0,20.0,0.5229611876852408,22.633427914817105,154.11717247212223,23.072294261554703,0.125,3.7049999999999996,0.1
63,491.26061707777814,115.92966192299129,884.1770555455936,1.596801785666587,297.17968955651673,11525.978119117788,10.0,20.0,0.5229611876852408,22.633427914817105,36.96615131343733,24.255368915949695,0.0,3.335,0.1
64,491.26061707777814,115.92966192299129,884.1770555455936,1.596801785666587,297.17968955651673,11525.978119117788,10.0,20.0,0.5229611876852408,22.633427914817105,158.4830391614591,23.321553177686148,0.125,4.02,0.1
65,491.26061707777814,115.92966192299129,884.1770555455936,1.596801785666587,297.17968955651673,11525.978119117788,10.0,20.0,0.5229611876852408,22.633427914817105,40.796636157589774,23.131903761725642,0.0,3.7,0.05
66,476.28561707777817,130.9046619229913,909.1520555455936,1.4743017856665872,312.15468955651676,8895.652121153622,10.0,20.0,0.49821118768524086,25.108427914817103,157.84250927371392,23.511825053123108,0.125,4.155,0.05
67,476.28561707777817,130.9046619229913,909.1520555455936,1.4743017856665872,312.15468955651676,8895.652121153622,10.0,20.0,0.49821118768524086,25.108427914817103,31.01267082885296,23.898099827223852,0.0,3.12,0.05
68,476.28561707777817,130.9046619229913,909.1520555455936,1.4743017856665872,312.15468955651676,8895.652121153622,10.0,20.0,0.49821118768524086,25.108427914817103,33.50723817471328,23.17003677267989,0.0,3.3900000000000006,0.05
69,476.28561707777817,130.9046619229913,909.1520555455936,1.4743017856665872,312.15468955651676,8895.652121153622,10.0,20.0,0.49821118768524086,25.108427914817103,30.211288865684843,23.16313499020318,0.0,3.0850000000000004,0.05
70,476.28561707777817,130.9046619229913,909.1520555455936,1.4743017856665872,312.15468955651676,8895.652121153622,10.0,20.0,0.49821118768524086,25.108427914817103,154.10954826256497,25.16141230806557,0.125,3.84,0.05
71,476.28561707777817,130.9046619229913,909.1520555455936,1.4743017856665872,312.15468955651676,8895.652121153622,10.0,20.0,0.49821118768524086,25.108427914817103,34.636310359117964,24.190496166330206,0.0,3.4025,0.05
72,476.28561707777817,130.9046619229913,909.1520555455936,1.4743017856665872,312.15468955651676,8895.652121153622,10.0,20.0,0.49821118768524086,25.108427914817103,33.31068773411866,22.746690626750997,0.0,3.4475,0.05
73,476.28561707777817,130.9046619229913,909.1520555455936,1.4743017856665872,312.15468955651676,8895.652121153622,10.0,20.0,0.49821118768524086,25.108427914817103,34.67574769898408,24.25943919561108,0.0,3.4,0.05
74,476.28561707777817,130.9046619229913,909.1520555455936,1.4743017856665872,312.15468955651676,8895.652121153622,10.0,20.0,0.49821118768524086,25.108427914817103,152.06218219962605,23.725791765046647,0.125,3.74,0.05
75,476.28561707777817,130.9046619229913,909.1520555455936,1.4743017856665872,312.15468955651676,8895.652121153622,10.0,20.0,0.49821118768524086,25.108427914817103,149.99424583982537,23.706485689718757,0.125,3.525,0.025
76,468.7981170777781,138.39216192299128,921.6395555455937,1.4130517856665872,319.64218955651677,7814.9785580381285,10.0,20.0,0.48583618768524084,26.345927914817103,43.52570048279861,22.668877140982197,0.0,4.1625,0.025
77,468.7981170777781,138.39216192299128,921.6395555455937,1.4130517856665872,319.64218955651677,7814.9785580381285,10.0,20.0,0.48583618768524084,26.345927914817103,33.04253142470448,23.182408457760335,0.0,3.3525,0.025
78,468.7981170777781,138.39216192299128,921.6395555455937,1.4130517856665872,319.64218955651677,7814.9785580381285,10.0,20.0,0.48583618768524084,26.345927914817103,39.95104575205127,23.00176043125699,0.0,3.835,0.025
79,468.7981170777781,138.39216192299128,921.6395555455937,1.4130517856665872,319.64218955651677,7814.9785580381285,10.0,20.0,0.48583618768524084,26.345927914817103,155.6754679874902,22.97813831184431,0.125,4.0775,0.025
80,468.7981170777781,138.39216192299128,921.6395555455937,1.4130517856665872,319.64218955651677,7814.9785580381285,10.0,20.0,0.48583618768524084,26.345927914817103,39.131846645090796,23.470441745368564,0.0,3.825,0.025
81,468.7981170777781,138.39216192299128,921.6395555455937,1.4130517856665872,319.64218955651677,7814.9785580381285,10.0,20.0,0.48583618768524084,26.345927914817103,33.71996498031627,24.270145561940836,0.0,3.41,0.025
82,468.7981170777781,138.39216192299128,921.6395555455937,1.4130517856665872,319.64218955651677,7814.9785580381285,10.0,20.0,0.48583618768524084,26.345927914817103,38.18259802537857,24.705622700806614,0.0,3.7350000000000003,0.025
83,468.7981170777781,138.39216192299128,921.6395555455937,1.4130517856665872,319.64218955651677,7814.9785580381285,10.0,20.0,0.48583618768524084,26.345927914817103,156.1286022309027,21.8619390723173,0.125,4.235,0.025
84,468.7981170777781,138.39216192299128,921.6395555455937,1.4130517856665872,319.64218955651677,7814.9785580381285,10.0,20.0,0.48583618768524084,26.345927914817103,33.91811159111579,24.600063258467543,0.0,3.4425,0.025
85,468.7981170777781,138.39216192299128,921.6395555455937,1.4130517856665872,319.64218955651677,7814.9785580381285,10.0,20.0,0.48583618768524084,26.345927914817103,36.67558841954798,23.22906448648301,0.0,3.6675,0.0125
86,465.0543670777781,142.13591192299128,927.8833055455937,1.382426785666587,323.38593955651675,7324.918396533404,10.0,20.0,0.4796486876852408,26.964677914817106,40.80203742494798,21.876094617572825,0.0,4.012499999999999,0.0125
87,465.0543670777781,142.13591192299128,927.8833055455937,1.382426785666587,323.38593955651675,7324.918396533404,10.0,20.0,0.4796486876852408,26.964677914817106,41.59920782290261,23.637389203614603,0.0,4.125,0.0125
88,465.0543670777781,142.13591192299128,927.8833055455937,1.382426785666587,323.38593955651675,7324.918396533404,10.0,20.0,0.4796486876852408,26.964677914817106,152.5122817607946,23.059529068302567,0.125,3.9624999999999995,0.0125
89,465.0543670777781,142.13591192299128,927.8833055455937,1.382426785666587,323.38593955651675,7324.918396533404,10.0,20.0,0.4796486876852408,26.964677914817106,34.737361611481475,23.81351313241147,0.0,3.6375,0.0125
90,465.0543670777781,142.13591192299128,927.8833055455937,1.382426785666587,323.38593955651675,7324.918396533404,10.0,20.0,0.4796486876852408,26.964677914817106,36.92666226816863,25.220146205213318,0.0,3.765,0.0125
91,465.0543670777781,142.13591192299128,927.8833055455937,1.382426785666587,323.38593955651675,7324.918396533404,10.0,20.0,0.4796486876852408,26.964677914817106,24.966556961933794,22.37619285170835,0.0,2.7800000000000002,0.0125
92,465.0543670777781,142.13591192299128,927.8833055455937,1.382426785666587,323.38593955651675,7324.918396533404,10.0,20.0,0.4796486876852408,26.964677914817106,35.5830121712316,22.166149873431173,0.0,3.6224999999999996,0.0125
93,465.0543670777781,142.13591192299128,927.8833055455937,1.382426785666587,323.38593955651675,7324.918396533404,10.0,20.0,0.4796486876852408,26.964677914817106,39.66785018582861,24.916326635079262,0.0,3.9499999999999993,0.0125
94,465.0543670777781,142.13591192299128,927.8833055455937,1.382426785666587,323.38593955651675,7324.918396533404,10.0,20.0,0.4796486876852408,26.964677914817106,39.55942403663817,23.656688668456567,0.0,3.8799999999999994,0.0125
95,465.0543670777781,142.13591192299128,927.8833055455937,1.382426785666587,323.38593955651675,7324.918396533404,10.0,20.0,0.4796486876852408,26.964677914817106,36.97358540687459,22.783762353022123,0.0,3.6425,0.00625
96,379.0665662288666,529.7208207249641,287.8526633679867,1.9508542776107791,73.64264514297247,270.24433619468294,28.58790405941075,36.46947774205005,24.16408226614005,0.0,1.7449999999999999,0.8
97,600.0,1.0,760.5959052063861,3.311801785666587,87.52968955651674,316227.7660168379,10.0,212.0,0.8694611876852408,1.0,35.15185742824367,23.828447039608637,0.0,2.0475,0.8
98,600.0,1.0,801.8091957705361,3.311801785666587,87.52968955651674,108.81225003186732,10.0,20.0,0.8694611876852408,67.1834279148171,37.761841738884584,22.08280344668112,0.0,2.2725,0.8
99,600.0,1.0,1000.0,0.1,87.52968955651674,316227.7660168379,10.0,20.0,0.07746118768524082,1.0,39.82230444024113,26.920498880828784,0.0,7.2125,0.8
100,600.0,385.4796619229913,1000.0,3.311801785666587,87.52968955651674,316227.7660168379,10.0,20.0,0.8694611876852408,1.0,46.40800165764116,21.85051801889009,0.0,3.04,0.8
101,600.0,1.0,738.6865367427476,3.311801785666587,87.52968955651674,316227.7660168379,10.0,20.0,0.07746118768524082,1.0,28.8448246415806,22.070761225206407,0.0,1.51,0.8
102,600.0,385.4796619229913,534.5270555455936,3.311801785666587,87.52968955651674,7893.708566765046,10.0,20.0,0.8694611876852408,1.0,28.284694822870186,23.00716155138783,0.0,1.8524999999999998,0.8
103,600.0,1.0,1000.0,0.1,87.52968955651674,7520.41855467527,10.0,20.0,0.8694611876852408,67.1834279148171,37.17191980093584,26.739288473819776,0.0,7.2475000000000005,0.8
