t,roll_cmd,pitch_cmd,yaw_cmd,thrust_cmd,a_theta
0.52,-0.058717140085905346,0.3506847855431696,0.0,0.5356085618353703,3.592320839361727
0.54,-0.06146876486586433,0.31285626965521585,0.0,0.5250839757110097,3.2378335212525466
0.56,-0.05667630646381926,0.26684580464992813,0.0,0.5201023721952385,1.9889642676914059
0.58,-0.06506397753218265,0.2327186109204003,0.0,0.5104639690757208,0.010000257874899443
0.6,-0.07138195268772693,0.20494397474421744,0.0,0.5001816653423551,0.012908113741962629
0.62,-0.06455993166012636,0.17604450500179583,0.0,0.4929368300473248,0.01263457581252081
0.64,-0.06385093667474837,0.13788676382341272,0.0,0.48447119992540094,0.01002095050136628
0.66,-0.06479706529502126,0.09646709386999669,0.0,0.4751591652227033,0.010001427301581637
0.68,-0.07167252227112285,0.08107794037305663,0.0,0.4759149238280254,0.010000000000013182
0.7000000000000001,-0.05510303616874678,0.06435495050869626,0.0,0.47319306797330435,0.010000000000008693
0.72,-0.07261849445442684,0.04616636772790847,0.0,0.4637214751414151,0.010000000000006925
0.74,-0.056297630799849105,0.019024969510901817,0.0,0.45867901706083675,0.010000000000006547
0.76,-0.04020710724756331,7.317147163739268e-06,0.0,0.4527493938489983,0.010000000000007166
0.78,-0.009530868577139535,-0.006655549724453829,0.0,0.4356136936081075,0.010000000000009454
0.8,-0.00535335256606529,-0.029925024654227493,0.0,0.4324422699422268,0.010000000000014527
0.8200000000000001,0.0412823587502259,-0.046263650570975416,0.0,0.4234627783859062,0.010000000000026155
0.84,0.08889202675096108,-0.06385286103534861,0.0,0.4237084365458802,0.010000000000060372
0.86,0.12524665300761978,-0.08037366760080322,0.0,0.41153412321732685,0.01001772069423814
0.88,0.17031032811050084,-0.09346529651343786,0.0,0.40317243950716025,0.018223507438829195
0.9,0.20598234143341992,-0.09325251768125219,0.0,0.3973958419484998,0.010000000000074574
0.92,0.23050975847362057,-0.10281745182122412,0.0,0.39590466630340976,0.010000000000030098
0.9400000000000001,0.28950138021947835,-0.11258345756047268,0.0,0.3977873541647259,0.010000000000028056
0.96,0.35586439253898283,-0.13108500338313056,0.0,0.3843465267164466,0.18536998802094218
0.98,0.4394556569719156,-0.11406120558855126,0.0,0.3915252327861062,2.4941119478059193
1.0,0.4784218506106634,-0.11663592379757419,0.0,0.3819446022653734,0.010000000000000675
1.02,0.5085609773329307,-0.1341080642325572,0.0,0.38028573625512324,0.010000000000002325
1.04,0.531111047842099,-0.1481586506054989,0.0,0.37301735473147507,0.010000000000001346
